Proof,Alcohol,Water,Gravity in Air,Gravity in Vacuum,Shrink
138,69,34.47,0.89232,0.89245,3.47
139,69.5,33.95,0.89109,0.89122,3.45
140,70,33.43,0.88986,0.88999,3.43
141,70.5,32.91,0.88862,0.88875,3.41
142,71,32.38,0.88738,0.88751,3.38
143,71.5,31.86,0.88612,0.88625,3.36
144,72,31.34,0.88485,0.88499,3.34
145,72.5,30.82,0.88358,0.88372,3.32
146,73,30.29,0.8823,0.88244,3.29
147,73.5,29.76,0.88102,0.88116,3.26
148,74,29.24,0.87973,0.87987,3.24
149,74.5,28.71,0.87844,0.87858,3.21
150,75,28.19,0.87714,0.87728,3.19
151,75.5,27.66,0.87583,0.87597,3.16
152,76,27.13,0.8745,0.87465,3.13
153,76.5,26.6,0.87317,0.87332,3.1
154,77,26.07,0.87184,0.87199,3.07
155,77.5,25.54,0.8705,0.87065,3.04
156,78,25.01,0.86914,0.86929,3.01
157,78.5,24.47,0.86778,0.86793,2.97
158,79,23.94,0.86641,0.86656,2.94
159,79.5,23.4,0.86503,0.86518,2.9
160,80,22.87,0.86364,0.8638,2.87
161,80.5,22.33,0.86225,0.86241,2.83
162,81,21.8,0.86084,0.861,2.8
163,81.5,21.26,0.85943,0.85959,2.76
164,82,20.72,0.85801,0.85817,2.72
165,82.5,20.18,0.85658,0.85674,2.68
166,83,19.64,0.85515,0.85531,2.64
167,83.5,19.1,0.85369,0.85386,2.6
168,84,18.55,0.85223,0.8524,2.55
169,84.5,18.01,0.85076,0.85093,2.51
170,85,17.46,0.84927,0.84944,2.46
171,85.5,16.92,0.84777,0.84794,2.42
172,86,16.37,0.84625,0.84642,2.37
173,86.5,15.82,0.84471,0.8449,2.32
174,87,15.27,0.84317,0.84336,2.27
175,87.5,14.72,0.84162,0.84181,2.22
176,88,14.16,0.84006,0.84025,2.16
177,88.5,13.61,0.83848,0.83867,2.11
178,89,13.05,0.83688,0.83707,2.05
179,89.5,12.49,0.83526,0.83545,1.99
180,90,11.93,0.83362,0.83382,1.93
181,90.5,11.37,0.83196,0.83216,1.87
182,91,10.8,0.83029,0.83049,1.8
183,91.5,10.24,0.82859,0.82879,1.74
184,92,9.67,0.82685,0.82705,1.67
